1. Grama Niladhari Division,2. Gender,3. Age of the child (Years),4. Weight of the child (kg):,5. How would you rate your child’s Overall Academic performances? [.],6. Number of people who live in your household,7. What animal protein sources do you give your child the most?,8. Is seafood available frequently in your area?,9. Does your child eat freshwater fish?,"9. (A) If Yes, mention the most preferred freshwater fish type of the child.","9. (B) If no, what is the reason?","9. (C) If your child hesitates to eat freshwater fish, what are the methods you used to encourage/improve their consumption usually?",10. Why does your child prefer freshwater fish?,11. What is the reason for including freshwater fish in your child’s diet?,12. Has the amount of freshwater fish your family  consumed changed over the last 3 years?,"13. If changed, what is the reason?",14. Have you ever received any guidance or recommendation from a healthcare professional regarding freshwater fish consumption of your child?,15. Have you ever limited your child’s freshwater fish consumption due to any reason?,"16. If Yes, what is the reason?","17. “Freshwater fish is a healthy source of animal protein and provide
other important nutrients for children.”",18. How often does your child eat freshwater fish?,"19. When the child eats freshwater fish, what is the average amount per
day?",20. How many pieces the child eats per meal?,21.What is your child’s favorite way of preparing freshwater fish?,22.What type of freshwater fish usually purchase in your household and how much per month? [Tilapia],22.What type of freshwater fish usually purchase in your household and how much per month? [Korali],22.What type of freshwater fish usually purchase in your household and how much per month? [Hunga],22.What type of freshwater fish usually purchase in your household and how much per month? [Loolla],22.What type of freshwater fish usually purchase in your household and how much per month? [Pethiya],22.What type of freshwater fish usually purchase in your household and how much per month? [Aandha],22.What type of freshwater fish usually purchase in your household and how much per month? [Kawayya],22.What type of freshwater fish usually purchase in your household and how much per month? [Ankutta],22.What type of freshwater fish usually purchase in your household and how much per month? [Magura],22.What type of freshwater fish usually purchase in your household and how much per month? [Karadu issa],22.What type of freshwater fish usually purchase in your household and how much per month? [Carp Spp.],22.What type of freshwater fish usually purchase in your household and how much per month? [Other],"22. (b) If you consume fish other than the above-mentioned species, please mention it here.",23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Dried fish],23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Smoked fish],23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Other],"23. (b) If you consume fish product other than the above-mentioned processed product, please mention it here.",24. What are the barriers to increasing freshwater fish consumption?,25. Where do you usually get the fish from?,"26. Have you noticed any allergies symptoms of your child after eating
Freshwater fish?","27. If Yes, please mention the fish species/s","28. If Yes, which symptoms have you observed?
(You can select more than one option)"
medagama,male,8,not mentioned,Fair,7,"Meat (Chicken,Beef, Pork, etc.), Fish",No,Yes,Tilapia ,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Texture,Nutritional benefits,Decreased,Expensive ,No,Yes,Expensive ,Agree,3-4 times a week,Two meals,2,Curry (Chilled),2 - 4 kg,,,,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Directly from fishermen,No,,
kandurugasdamana,male,7,17,Very Good,5,"Meat (Chicken,Beef, Pork, etc.)",No,Yes,Tilapia ,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches), Serve with their favorite foods, Explaining the benefits of eating fish",As a food habit,Freshness,Decreased,Expensive ,No,No,,Agree,3-4 times a week,Two meals,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,1 - 1.5 kg,,,,Expensive,Not mentioned ,No,,
medagama,male,8,28,Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish",No,Yes,Tilapia ,,,Milder taste,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,One meal,3,Curry (Chilled),,,,,,,,,,,,,,,,,,Fewer places to purchase,Delivery vehicles,No,,
medagama,female,8,not mentioned,Good,5,"Meat (Chicken,Beef, Pork, etc.)",Yes,Yes,Tilapia ,,,As a food habit,Readily available,Decreased,,No,No,,Strongly agree,Daily,Two meals,3,Curry (Chilled),Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,,,Less than 2 kg,Less than 2 kg,,,,Less than 2 kg,Lellu,Less than 0.5 kg,Less than 0.5 kg,,,Less fishing these days,Not mentioned ,No,,
medagama,female,8,20,Good,5,Fish,Yes,Yes,Loolla ,,Involving child in choosing or cooking the fish,Milder taste,"Nutritional benefits, Health benefits",No change,,Yes,No,,Agree,Twice a week,Two meals,2,Curry (With coconut milk),2 - 4 kg,2 - 4 kg,2 - 4 kg,2 - 4 kg,2 - 4 kg,,2 - 4 kg,2 - 4 kg,2 - 4 kg,,,2 - 4 kg,Lellu,1 - 1.5 kg,1 - 1.5 kg,,,Fish yield is low,Directly from fishermen,No,,
medagama,female,3,not mentioned,Very Good,2,Fish,Yes,Yes,Loolla and Theppili ,,Try different recipes with different flavors,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Few times a month,Two meals,2,Fried fish,Less than 2 kg,,,Less than 2 kg,,,,,,,,,,0.5 - 1 kg,0.5 - 1 kg,,,Expensive,"Delivery vehicles, Fair",No,,
kandurugasdamana,male,7,19,not mentioned,5,Fish,No,Yes,Loolla ,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Milder taste,Nutritional benefits,No change,,No,No,,Agree,Once a week,Two meals,2,Fried fish,,,,Less than 2 kg,,,,,,,,2 - 4 kg,Lellu,1.5 - 2 kg,,,,Expensive,Directly from fishermen,No,,
medagama,female,7,18,not mentioned,5,Fish,No,Yes,Not mentioned,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Milder taste,Nutritional benefits,No change,,No,No,,Agree,Once a week,Two meals,2,Fried fish,,,,Less than 2 kg,,,,,,,,Less than 2 kg,Lellu,1.5 - 2 kg,,,,Expensive,Directly from fishermen,No,,
kandurugasdamana,male,7,17,Very Good,5,"Fish, Eggs, Dairy Products",No,Yes,Not mentioned,,Try different recipes with different flavors,As a food habit,Freshness,No change,,No,No,,Agree,Few times a month,Two meals,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,1.5 - 2 kg,,,,Expensive,Directly from fishermen,No,,
kandurugasdamana,male,7,17,Very Good,5,"Fish, Eggs",No,Yes,Not mentioned,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Milder taste,Nutritional benefits,No change,,No,No,,Agree,Once a week,Two meals,2,Curry (Chilled),Less than 2 kg,,,,,,,,,,,,,1 - 1.5 kg,,,,Expensive,Directly from fishermen,No,,
medagama,male,7,13.5,Excellent,3,"Fish, Eggs",Yes,Yes,Tilapia ,,Serve with their favorite foods,As a food habit,Nutritional benefits,No change,,No,No,,Strongly agree,Few times a month,Two meals,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Delivery vehicles,No,,
kandurugasdamana,female,6,not mentioned,not mentioned,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,Yes,Not mentioned,,Explaining the benefits of eating fish,As a food habit,Nutritional benefits,No change,,No,No,,Agree,Twice a week,Two meals,1,Fried fish,Less than 2 kg,,,,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
katupuliyankulama,male,4,18.5,Fair,5,"Fish, Eggs",Yes,Yes,Not mentioned,,Serve with their favorite foods,As a food habit,Readily available,No change,,No,No,,Agree,Twice a week,Two meals,2,Fried fish,More than 6 kg,,,,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
sadamalgama,female,4,12.5,Good,4,Fish,Yes,Yes,Theppili ,,Try different recipes with different flavors,As a food habit,Nutritional benefits,No change,,No,No,,Agree,Twice a week,Two meals,2,Curry (Chilled),2 - 4 kg,,,,,,,,,,,,,1 - 1.5 kg,,,,Expensive,Fish stall,No,,
katupuliyankulama,female,5,17,Good,3,Eggs,No,Yes,Not mentioned,,,,Nutritional benefits,Increased,Nutrients,No,No,,Agree,3-4 times a week,Two meals,2,Curry (With coconut milk),4 - 6 kg,,,,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Delivery vehicles,No,,
medagama,male,9,18,Fair,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,"Tilapia, Loolla, Pethiya ",Presence of so many bones,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Milder taste,Nutritional benefits,Decreased,Expensive ,No,No,,Strongly agree,Twice a week,Two meals,2,"Curry (Chilled), Fried fish",Less than 2 kg,,,Less than 2 kg,Less than 2 kg,,,,,,,,,More than 2 kg,More than 2 kg,,,Expensive,Delivery vehicles,No,,
medagama,female,9,15,Good,5,"Fish, Eggs",Yes,Yes,Tilapia ,Other family members don’t like,Serve with their favorite foods,As a food habit,"Nutritional benefits, Health benefits",No change,,No,No,,Agree,Twice a week,One meal,2,"Curry (With coconut milk), Fried fish",Less than 2 kg,,,,,,,,,,,,,,0.5 - 1 kg,,,"Less fishing these days, Fish yield is low",Directly from fishermen,No,,
kandurugasdamana,female,9,15,Good,7,"Meat (Chicken,Beef, Pork, etc.), Fish",Yes,Yes,Not mentioned,Presence of so many bones,,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Few times a month,One meal,1,Curry (Chilled),2 - 4 kg,,,,,,,,,,,,,,Less than 0.5 kg,,,Expensive,Wholesale,No,,
rambewa,female,9,not mentioned,Good,7,Eggs,No,Yes,Not mentioned,,Try different recipes with different flavors,Awareness of nutritional quality,Nutritional benefits,Decreased,Expensive ,No,No,,Agree,Twice a week,One meal,2,Curry (Chilled),,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
kandurugasdamana,male,8,21,Good,4,Eggs,No,Yes,Tilapia ,,Explaining the benefits of eating fish,As a food habit,Nutritional benefits,No change,,No,No,,Agree,Few times a month,Two meals,1,Fried fish,Less than 2 kg,,,Less than 2 kg,,,,,,,,,,No purchasing,No purchasing,No purchasing,,Fewer places to purchase,Directly from fishermen,No,,
medagama,male,8,20,Good,5,Eggs,No,Yes,Lellu,,Explaining the benefits of eating fish,As a food habit,Nutritional benefits,Decreased,Economic Difficulties ,No,No,,Strongly agree,Few times a month,One meal,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,,,,,Expensive,Wholesale,No,,
parasangaswewa,male,5,13,Excellent,5,"Meat (Chicken,Beef, Pork, etc.)",No,No,Not mentioned,"Unpleasant smell, Presence of so many bones",,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parasangaswewa,female,6,15,Very Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish",No,Yes,Theppili ,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Milder taste,"Health benefits, Taste",Decreased,Inflation ,No,No,,Agree,Once a week,Two meals,1,Fried fish,Less than 2 kg,,,Less than 2 kg,,,,,,,,,,1 - 1.5 kg,Less than 0.5 kg,,,"Expensive, Less fishing these days",Delivery vehicles,No,,
kandurugasdamana,male,8,28,Very Good,5,Eggs,No,Yes,"Tilapia, Loolla ",,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",As a food habit,Nutritional benefits,Decreased,Economic Difficulties ,No,No,,Agree,Few times a month,One meal,1,Fried fish,Less than 2 kg,,,,,,,,,,,,,,,,,Expensive,Not mentioned ,No,,
medagama,female,8,18,Good,5,Fish,No,Yes,Theppili ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Cheaper than other protein sources,Decreased,Expensive ,No,No,,Neither agree nor disagree,Few times a month,Two meals,2,Curry (Chilled),,,Less than 2 kg,,,,Less than 2 kg,,,,,Less than 2 kg,Theppili ,,Less than 0.5 kg,,,Expensive,Not mentioned ,No,,
medagama,male,9,20,Fair,3,"Meat (Chicken,Beef, Pork, etc.), Fish",No,Yes,Korali,,Serve with their favorite foods,Milder taste,Nutritional benefits,Decreased,Expensive ,No,No,Expensive ,Agree,Twice a week,One meal,2,Curry (Chilled),2 - 4 kg,,,,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Directly from fishermen,No,,
medagama,male,9,30,Fair,4,Eggs,Yes,Yes,Not mentioned,,Explaining the benefits of eating fish,As a food habit,Not mentioned ,Decreased,Economic Difficulties ,No,No,,Neither agree nor disagree,Few times a month,One meal,2,Fried fish,,,,Less than 2 kg,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
medagama,male,8,30,Very Good,5,Not mentioned,Yes,Yes,Not mentioned,,Explaining the benefits of eating fish,As a food habit,Readily available,Increased,,No,No,,Agree,Few times a month,One meal,More than 3,Fried fish,4 - 6 kg,,,,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
medagama,female,8,18,Fair,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,"Tilapia, Loolla ",,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Awareness of nutritional quality,Nutritional benefits,Decreased,Expensive ,No,No,,Agree,Once a week,Two meals,2,"Curry (Chilled), Fried fish",Less than 2 kg,,,Less than 2 kg,,,,,,,,,,No purchasing,,,,Expensive,Delivery vehicles,No,,
kandurugasdamana,female,8,22,Good,6,Fish,No,Yes,Tilapia,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,Increased,,No,No,,Agree,Twice a week,Three meals,1,Fried fish,2 - 4 kg,,,,,,,,,,,,,Less than 0.5 kg,,,,Fewer places to purchase,Directly from fishermen,No,,
kandurugasdamana,male,8,25,Good,6,Not mentioned,No,Yes,Not mentioned,,Explaining the benefits of eating fish,Awareness of nutritional quality,Not mentioned,Decreased,Economic Difficulties ,No,No,,Agree,Few times a month,Two meals,2,Curry (Chilled),Less than 2 kg,,,Less than 2 kg,,,,,,,,,,No purchasing,No purchasing,No purchasing,,Expensive,Directly from fishermen,No,,
medagama,female,9,21.5,not mentioned,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Not mentioned,,,As a food habit,Nutritional benefits,No change,,No,No,,Agree,Few times a month,Two meals,2,Fried fish,Less than 2 kg,,,Less than 2 kg,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Directly from fishermen,No,,
medagama,female,9,not mentioned,Good,5,"Fish, Eggs, Not mentioned ",No,Yes,Not mentioned,,Explaining the benefits of eating fish,Not mentioned ,Nutritional benefits,Decreased,,No,No,,Neither agree nor disagree,Once a week,Two meals,2,Fried fish,Less than 2 kg,,,Less than 2 kg,,,,,,,,,,More than 2 kg,,,,Expensive,Delivery vehicles,No,,
kandurugasdamana,male,8,20,not mentioned,6,Eggs,No,Yes,Not mentioned,,,Milder taste,Freshness,No change,,No,No,,Neither agree nor disagree,Once a week,Two meals,2,Fried fish,2 - 4 kg,,,,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
medagama,female,8,15,Fair,5,Eggs,No,Yes,Not mentioned,,,As a food habit,As a habit,Decreased,Expensive ,No,No,,Agree,Few times a month,One meal,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
medagama,male,10,not mentioned,Poor,3,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,Yes,Loolla,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches), Involving child in choosing or cooking the fish, Try different recipes with different flavors",Milder taste,"Nutritional benefits, Health benefits",Decreased,,No,No,,Neither agree nor disagree,Few times a month,One meal,2,Fried fish,Less than 2 kg,,,Less than 2 kg,,,,,,,,Less than 2 kg,Lellu,No purchasing,0.5 - 1 kg,,,Expensive,Delivery vehicles,No,,
kandurugasdamana,female,7,16,Very Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Not mentioned,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Neither agree nor disagree,3-4 times a week,Three meals,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,,,,,Expensive,Fish stall,No,,
medagama,female,7,23,Very Good,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,Yes,Korali ,,,Milder taste,Nutritional benefits,Decreased,Expensive ,No,No,,Agree,Few times a month,Two meals,2,Curry (With coconut milk),,4 - 6 kg,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
kandurugasdamana,male,6,24,Very Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish",No,Yes,Tilapia,,,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Twice a week,Two meals,More than 3,Curry (Chilled),2 - 4 kg,Less than 2 kg,,Less than 2 kg,,,,,,,More than 6 kg,,,,,,,Less fishing these days,Not mentioned,No,,
katupuliyankulama,male,4,16,Good,7,Eggs,Yes,Yes,Not mentioned,,,As a food habit,Health benefits,Decreased,,No,No,,Agree,Twice a week,Two meals,2,Fried fish,,,,,,,,,,,,4 - 6 kg,Not mentioned ,More than 2 kg,,,,Expensive,Delivery vehicles,No,,
katupuliyankulama,female,5,14,not mentioned,4,"Fish, Eggs",Yes,Yes,Eggs,Presence of so many bones,Serve with their favorite foods,Awareness of nutritional quality,Nutritional benefits,Decreased,Economic Difficulties ,No,No,,Agree,Twice a week,Two meals,1,Fried fish,Less than 2 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Fair,No,,
katupuliyankulama,female,3,not mentioned,Very Good,4,"Fish, Eggs",Yes,Yes,Theppili ,,Serve with their favorite foods,As a food habit,Nutritional benefits,No change,,No,No,,Agree,Twice a week,Three meals,2,Curry (Chilled),,,,,,,,,,,,4 - 6 kg,Theppili ,,,,,Expensive,Delivery vehicles,No,,
ukkulankulama,male,6,not mentioned,Fair,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,No,Not mentioned,Presence of so many bones,,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rambewa,female,7,13,Excellent,6,"Fish, Eggs, Dairy Products",No,Yes,Not mentioned,,Involving child in choosing or cooking the fish,Texture,As a habit,No change,,No,No,,Disagree,3-4 times a week,Two meals,2,Fried fish,,,Less than 2 kg,Less than 2 kg,,,,,,,,,,,More than 2 kg,,,Expensive,Fair,No,,
pandukabhayapura,male,7,21,Good,6,Not Mentioned,Yes,Yes,Not mentioned,,,Milder taste,Not mentioned,Decreased,Dislikeness ,No,Yes,Economic difficulties ,Neither agree nor disagree,Few times a month,One meal,2,Curry (Chilled),Less than 2 kg,,,Less than 2 kg,,,,,,,,,,,Less than 0.5 kg,,,,Delivery vehicles,Yes,,"Vomiting, Bloating"
doramadalawa,male,7,21,Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,Yes,Theppili ,,"Try different recipes with different flavors, Explaining the benefits of eating fish",As a food habit,"Nutritional benefits, Health benefits, As a habit, Taste, Freshness",Increased,,No,No,,Agree,Once a week,One meal,2,"Curry (Chilled), Curry (With coconut milk), Fried fish",,,,,,,,,,,,Less than 2 kg,Not mentioned ,,,,,"Expensive, Fish yield is low, Less fishing these days","Fish stall, Delivery vehicles, Directly from fishermen",No,,
ukkulankulama,male,9,32,Good,4,Eggs,No,Yes,Not mentioned,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,Decreased,Economic Difficulties ,No,No,,Neither agree nor disagree,Few times a month,One meal,1,Fried fish,Less than 2 kg,,,,,,,,,,,,,No purchasing,No purchasing,No purchasing,,Expensive,Fish stall,No,,
sadamalgama,male,10,40,Good,not  mentioned,"Fish, Eggs, Dairy Products",Yes,Yes,Theppili,,Explaining the benefits of eating fish,Awareness of nutritional quality,Cheaper than other protein sources,No change,,No,No,,Agree,Twice a week,Two meals,2,Fried fish,,,,,,,,,,,,Less than 2 kg,Theppili,No purchasing,No purchasing,No purchasing,,Expensive,Directly from fishermen,No,,
pandukabhayapura,female,10,28,Very Good,3,Fish,No,Yes,"Loolla,Theppili ",,Explaining the benefits of eating fish,Awareness of nutritional quality,Freshness,No change,,No,No,,Agree,Twice a week,Two meals,2,Fried fish,4 - 6 kg,,,4 - 6 kg,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Directly from fishermen,No,,
doramadalawa,male,10,30,Good,3,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,Yes,Tilapia,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches), Involving child in choosing or cooking the fish","Milder taste, As a food habit","Freshness, Readily available",Increased,,No,No,,Agree,3-4 times a week,Two meals,2,Fried fish,Less than 2 kg,,Less than 2 kg,Less than 2 kg,,,Less than 2 kg,,,,,,,Less than 0.5 kg,Less than 0.5 kg,,,Fish yield is low,Directly from fishermen,No,,
rambewa,female,10,20,Good,6,"Fish, Eggs, Dairy Products",No,Yes,Not mentioned,,Involving child in choosing or cooking the fish,Texture,As a habit,No change,,No,No,,Disagree,3-4 times a week,Two meals,2,Fried fish,,,Less than 2 kg,Less than 2 kg,,,,,,,,,,More than 2 kg,,,,Expensive,Fair,No,,
sadamalgama,female,8,not mentioned,Good,3,Eggs,No,Yes,Loolla ,,,As a food habit,Readily available,Decreased,Economic Difficulties ,No,No,,Agree,Few times a month,One meal,1,Curry (Chilled),Less than 2 kg,,,Less than 2 kg,,,,,,,,,,,,,,Expensive,Fish stall,No,,
ukkulankulama,female,9,19,Very Good,3,Not mentioned ,No,Yes,"Theppili,Loolla ",,Explaining the benefits of eating fish,Not mentioned ,Readily available,Decreased,Economic Difficulties ,No,No,,Agree,3-4 times a week,Two meals,2,Curry (Chilled),Less than 2 kg,,,Less than 2 kg,,,,,,,,,,No purchasing,No purchasing,,,Expensive,Directly from fishermen,No,,
rambewa,male,10,22,Very Good,3,"Fish, Eggs, Dairy Products",Yes,Yes,Loolla ,"Unpleasant smell, Presence of so many bones",Explaining the benefits of eating fish,As a food habit,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,Three meals,More than 3,Fried fish,More than 6 kg,,,4 - 6 kg,,,,,,,,,,0.5 - 1 kg,,,,Less fishing these days,"Fish stall, Directly from fishermen",No,,
katupuliyankulama,male,10,21,Good,5,Eggs,No,No,Not mentioned,Dislike of the taste or texture,,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pandukabhayapura,male,8,23,Good,6,Not mentioned ,Maybe,Yes,Not specified spp.,,,Milder taste,Taste,Decreased,,No,Yes,According to mother's preference,Neither agree nor disagree,Few times a month,One meal,2,Curry (Chilled),Less than 2 kg,,,Less than 2 kg,,,,,,,,,,,,,,Not mentioned ,Delivery vehicles,Yes,,"Vomiting, Bloating "
rambewa,male,8,not mentioned,Good,not  mentioned,"Meat (Chicken,Beef, Pork, etc.), Fish",Maybe,Yes,Theppili ,,,As a food habit,Nutritional benefits,No change,,No,No,,Agree,Few times a month,One meal,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
ukkulankulama,female,7,20,Good,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,Yes,Not mentioned,,"Involving child in choosing or cooking the fish, Explaining the benefits of eating fish",As a food habit,"Nutritional benefits, Health benefits, Freshness",No change,,No,No,,Agree,Twice a week,One meal,2,"Curry (Chilled), Fried fish",Less than 2 kg,,,2 - 4 kg,,,,,,,,,,1.5 - 2 kg,No purchasing,,,Less fishing these days,Fish stall,No,,
rambewa,female,7,20,Very Good,4,Fish,No,Yes,Not mentioned,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Once a week,Two meals,2,Curry (Chilled),,,,Less than 2 kg,,,,,,,,,,No purchasing,No purchasing,,,Expensive,Directly from fishermen,No,,
pallankulama,male,9,35,Fair,6,Fish,No,Yes,Not mentioned,Dislike of the taste or texture,Try different recipes with different flavors,As a food habit,Nutritional benefits,No change,,No,No,,Strongly agree,3-4 times a week,Two meals,2,Curry (Chilled),2 - 4 kg,,,2 - 4 kg,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Delivery vehicles,No,,
sadamalgama,male,6,12,Very Good,3,"Meat (Chicken,Beef, Pork, etc.)",Yes,Yes,Not mentioned,Dislike of the taste or texture,Explaining the benefits of eating fish,Not mentioned,Nutritional benefits,No change,,No,No,,Agree,Once a week,One meal,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Delivery vehicles,No,,
doramadalawa,female,6,18,Very Good,3,"Fish, Eggs",Yes,Yes,Theppili,,Serve with their favorite foods,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Strongly disagree,Once a week,Three meals,2,Fried fish,Less than 2 kg,,,Less than 2 kg,,,,,,,,,,Less than 0.5 kg,,,,Less fishing these days,Directly from fishermen,No,,
sadamalgama,male,9,24,Very Good,3,"Fish, Eggs",Yes,Yes,Loolla ,,Serve with their favorite foods,Awareness of nutritional quality,Freshness,Decreased,Expensive ,No,No,,Agree,Twice a week,Two meals,1,Fried fish,Less than 2 kg,Less than 2 kg,,Less than 2 kg,,,,,,,,,,More than 2 kg,,,,Expensive,Delivery vehicles,No,,
doramadalawa,female,10,31,Good,3,Not mentioned ,No,Yes,Tilapia ,,,"Milder taste, As a food habit",Not mentioned ,Increased,,No,No,,Agree,3-4 times a week,Two meals,2,Fried fish,2 - 4 kg,,2 - 4 kg,2 - 4 kg,,,2 - 4 kg,,,,,,,,,,,Not mentioned ,Not mentioned ,No,,
rambewa,male,10,15,Fair,4,Eggs,Yes,Yes,Not mentioned,Presence of so many bones,Serve with their favorite foods,Awareness of nutritional quality,Nutritional benefits,Decreased,Expensive ,No,No,,Neither agree nor disagree,Once a week,One meal,1,Curry (Chilled),Less than 2 kg,,,,,,,,,,,,,,,More than 2 kg,Tilapia ,Expensive,Fish stall,No,,
yaya 03,female,9,20,Fair,5,Not mentioned ,No,Yes,Theppili ,,"Try different recipes with different flavors, Explaining the benefits of eating fish",Milder taste,Nutritional benefits,Decreased,,No,No,,Agree,Every few months,Two meals,1,Fried fish,,,,,,,,,,,,Less than 2 kg,Theppili ,Less than 0.5 kg,No purchasing,,,Expensive,"Delivery vehicles, Fair",No,,
pallankulama,female,9,not mentioned,Fair,6,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,Yes,Loolla ,,Giving punishment ,As a food habit,Nutritional benefits,Decreased,Expensive ,No,No,,Agree,Twice a week,Two meals,2,"Curry (With coconut milk), Fried fish",2 - 4 kg,,,,,,,,,,,Less than 2 kg,Japan batto/Theppili ,,,,,Expensive,Fish stall,No,,
pandukabhayapura,female,10,22,Good,5,"Fish, Eggs",No,Yes,Tilapia ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,Decreased,,No,No,,Strongly agree,Few times a month,Two meals,2,Curry (Chilled),Less than 2 kg,,,,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
katupuliyankulama,female,10,22,Good,5,"Fish, Eggs",Yes,Yes,Not mentioned,,Serve with their favorite foods,As a food habit,"Cheaper than other protein sources, Freshness, Readily available",No change,,Yes,Maybe,,Agree,Twice a week,Two meals,2,Fried fish,More than 6 kg,,,,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
kandurugasdamana,female,4,14.6,Very Good,3,Eggs,No,Yes,Not mentioned,,,Awareness of nutritional quality,Nutritional benefits,No change,,Maybe,No,,Agree,Few times a month,Two meals,3,Curry (Chilled),,,,Less than 2 kg,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Delivery vehicles,No,,
